날짜,시각,재고
06/25,09:30,X
06/25,09:35,X
06/25,09:40,X
06/25,09:45,X
06/25,09:50,X
06/25,09:55,X
06/25,10:00,X
06/25,10:05,X
06/25,10:10,X
06/25,10:15,X
06/25,10:20,X
06/25,10:25,X
06/25,10:30,X
06/25,10:35,X
06/25,10:40,X
06/25,10:45,X
06/25,10:50,X
06/25,10:55,X
06/25,11:00,X
06/25,11:05,X
06/25,11:10,X
06/25,11:15,X
06/25,11:20,X
06/25,11:25,X
06/25,11:30,X
06/25,11:35,X
06/25,11:40,X
06/25,11:45,X
06/25,11:50,X
06/25,11:55,X
06/25,12:00,X
06/25,12:05,X
06/25,12:10,X
06/25,12:15,X
06/25,12:20,X
06/25,12:25,X
06/25,12:30,X
06/25,12:35,X
06/25,12:40,X
06/25,12:45,X
06/25,12:50,X
06/25,12:55,X
06/25,13:00,X
06/25,13:05,X
06/25,13:10,X
06/25,13:15,X
06/25,13:20,X
06/25,13:25,X
06/25,13:30,X
06/25,13:35,X
06/25,13:40,X
06/25,13:45,X
06/25,13:50,X
06/25,13:55,X
06/25,14:00,X
06/25,14:05,X
06/25,14:10,X
06/25,14:15,X
06/25,14:20,X
06/25,14:25,X
06/25,14:30,X
06/25,14:35,X
06/25,14:40,X
06/25,14:45,X
06/25,14:50,X
06/25,14:55,X
06/25,15:00,X
06/25,15:05,X
06/25,15:10,X
06/25,15:15,X
06/25,15:20,X
06/25,15:25,X
06/25,15:30,X
06/25,15:35,X
06/25,15:40,X
06/25,15:45,X
